Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Assembly Name	Assembly Accession	Annotation Name	Annotation BUSCO Complete 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Lineage 	Annotation BUSCO Missing 	Annotation BUSCO Single Copy 	Annotation BUSCO Total Count 	Annotation BUSCO Version 	Assembly Submitter	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	Assembly Stats Contig N50	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Assembly BioSample Accession	Assembly BioProject Lineage Accession	Assembly BioProject Lineage Parent Accession	Assembly BioProject Lineage Parent Accessions	Assembly BioProject Lineage Title
Pectobacterium aquaticum		A104-S21-F16				ASM338259v1	GCF_003382595.1	From INSDC submitter									Sorbonne University	4395676	Scaffold	2018-08-13	72817	4139	3831	SAMN09259575	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A104-S21-F16				ASM338259v2	GCF_003382595.2	From INSDC submitter									Sorbonne University	4395676	Scaffold	2018-12-10	72817	4081	3884	SAMN09259575	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A101-S19-F16				ASM338262v1	GCF_003382625.1	From INSDC submitter									Sorbonne University	4274151	Scaffold	2018-08-13	83099	3975	3703	SAMN09259574	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A101-S19-F16				ASM338262v2	GCF_003382625.2	From INSDC submitter									Sorbonne University	4274151	Scaffold	2018-12-10	83099	3920	3737	SAMN09259574	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A35-S23-M15				ASM338264v1	GCF_003382645.1	From INSDC submitter									Sorbonne University	4467243	Scaffold	2018-08-13	85652	4216	3907	SAMN09259573	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A35-S23-M15				ASM338264v2	GCF_003382645.2	From INSDC submitter									Sorbonne University	4467243	Scaffold	2018-12-10	85652	4149	3953	SAMN09259573	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A127-S21-F16				ASM338265v1	GCF_003382655.1	From INSDC submitter									Sorbonne University	4465102	Scaffold	2018-08-13	60872	4256	3876	SAMN09259577	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A127-S21-F16				ASM338265v2	GCF_003382655.2	From INSDC submitter									Sorbonne University	4465102	Scaffold	2018-12-10	60872	4194	3953	SAMN09259577	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		NAK:467				ASM1694908v1	GCF_016949085.1	From INSDC submitter									Wageningen Plant Research	4364572	Scaffold	2021-02-25	133724	4094	3818	SAMN15660286	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium aquaticum		A212-S19-A16				ASM338256v3	GCA_003382565.3	From INSDC submitter									Sorbonne University	4464425	Complete Genome	2021-11-09	4464425	4144	3910	SAMN09259578	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A105-S21-F16				ASM338258v2	GCA_003382585.2	From INSDC submitter									Sorbonne University	4310812	Scaffold	2018-12-10	103487	4045	3795	SAMN09259576	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A104-S21-F16				ASM338259v2	GCA_003382595.2	From INSDC submitter									Sorbonne University	4395676	Scaffold	2018-12-10	72817	4121	3867	SAMN09259575	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A101-S19-F16				ASM338262v2	GCA_003382625.2	From INSDC submitter									Sorbonne University	4274151	Scaffold	2018-12-10	83099	3967	3726	SAMN09259574	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A35-S23-M15				ASM338264v2	GCA_003382645.2	From INSDC submitter									Sorbonne University	4467243	Scaffold	2018-12-10	85652	4193	3951	SAMN09259573	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A127-S21-F16				ASM338265v2	GCA_003382655.2	From INSDC submitter									Sorbonne University	4465102	Scaffold	2018-12-10	60872	4225	3955	SAMN09259577	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		NAK:467				ASM1694908v1	GCA_016949085.1	From INSDC submitter									Wageningen Plant Research	4364572	Scaffold	2021-02-25	133724	4101	3874	SAMN15660286	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium aroidearum		L6				ASM1568919v1	GCF_015689195.1	From INSDC submitter									Hainan University	4995896	Complete Genome	2020-11-25	4995896	4453	4273	SAMN16830343	PRJNA679357			Pectobacterium aroidearum strain:L6 | isolate:leaf Genome sequencing
Pectobacterium aroidearum		CFBP8737				ASM1344971v1	GCF_013449715.1	From INSDC submitter									Sorbonne University	4898716	Scaffold	2020-07-21	192433	4418	4238	SAMN15366232	PRJNA639025			Pectobacterium genomes sequencing and assembly
Pectobacterium aroidearum		MY2				ASM1391355v1	GCF_013913555.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	5030410	Contig	2020-07-29	411098	4529	4333	SAMN15615591	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		MY11				ASM1391358v1	GCF_013913585.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4904044	Contig	2020-07-29	411109	4366	4178	SAMN15615624	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		MY10				ASM1391359v1	GCF_013913595.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	5075238	Contig	2020-07-29	411098	4581	4386	SAMN15615615	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		MY7				ASM1391360v1	GCF_013913605.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	5007063	Contig	2020-07-29	256342	4504	4312	SAMN15615604	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		MY18				ASM1391364v1	GCF_013913645.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4901277	Contig	2020-07-29	250947	4418	4216	SAMN15615646	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		KC20				ASM1404222v1	GCF_014042225.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4896300	Contig	2020-08-02	1128725	4440	4251	SAMN15615931	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		MY19				ASM1405011v1	GCF_014050115.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	5069930	Contig	2020-08-03	411109	4556	4366	SAMN15615929	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		LJ2				ASM2018137v1	GCF_020181375.1	From INSDC submitter									South China Agricultural University	4857800	Complete Genome	2021-09-30	4857800	4378	4209	SAMN21542835	PRJNA765112			Pectobacterium aroidearum strain:LJ2 Genome sequencing
Pectobacterium aroidearum		CFBP8737				ASM1344971v1	GCA_013449715.1	From INSDC submitter									Sorbonne University	4898716	Scaffold	2020-07-21	192433	4417	4296	SAMN15366232	PRJNA639025			Pectobacterium genomes sequencing and assembly
Pectobacterium aroidearum		MY2				ASM1391355v1	GCA_013913555.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	5030410	Contig	2020-07-29	411098	4529	4378	SAMN15615591	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		MY11				ASM1391358v1	GCA_013913585.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4904044	Contig	2020-07-29	411109	4367	4223	SAMN15615624	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		MY10				ASM1391359v1	GCA_013913595.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	5075238	Contig	2020-07-29	411098	4582	4432	SAMN15615615	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		MY7				ASM1391360v1	GCA_013913605.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	5007063	Contig	2020-07-29	256342	4504	4365	SAMN15615604	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		MY18				ASM1391364v1	GCA_013913645.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4901277	Contig	2020-07-29	250947	4414	4269	SAMN15615646	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		KC20				ASM1404222v1	GCA_014042225.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4896300	Contig	2020-08-02	1128725	4437	4300	SAMN15615931	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		MY19				ASM1405011v1	GCA_014050115.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	5069930	Contig	2020-08-03	411109	4549	4402	SAMN15615929	PRJNA647981			Pectobacterium sp. MY2 genome sequencing
Pectobacterium aroidearum		L6				ASM1568919v1	GCA_015689195.1	From INSDC submitter									Hainan University	4995896	Complete Genome	2020-11-25	4995896	4452	4271	SAMN16830343	PRJNA679357			Pectobacterium aroidearum strain:L6 | isolate:leaf Genome sequencing
Pectobacterium aroidearum		LJ2				ASM2018137v1	GCA_020181375.1										South China Agricultural University	4857800	Complete Genome	2021-09-30	4857800			SAMN21542835	PRJNA765112			Pectobacterium aroidearum strain:LJ2 Genome sequencing
Pectobacterium atrosepticum		21A				ASM74096v1	GCF_000740965.1	From INSDC submitter									Belarus State University	5024250	Complete Genome	2014-08-18	4991806	4544	4370	SAMN02983234	PRJNA252906			Pectobacterium atrosepticum strain:21a Genome sequencing
Pectobacterium atrosepticum		JG10-08				ASM69646v1	GCF_000696465.1	From INSDC submitter									Agricultural University of Hebei	5004926	Complete Genome	2014-05-30	5004926	4457	4252	SAMN02797737	PRJNA247436			Pectobacterium atrosepticum JG10-08 Genome sequencing
Pectobacterium atrosepticum		NCPPB 549				ASM74990v1	GCF_000749905.1	From INSDC submitter									Food and Environment Research Agency	5104595	Contig	2014-09-08	395607	4620	4431	SAMN02999423	PRJNA258504			Pectobacterium atrosepticum Genome sequencing
Pectobacterium atrosepticum		NCPPB 3404				ASM74996v1	GCF_000749965.1	From INSDC submitter									Food and Environment Research Agency	4898736	Contig	2014-09-08	564685	4392	4214	SAMN02999476	PRJNA258504			Pectobacterium atrosepticum Genome sequencing
Pectobacterium atrosepticum		36A				ASM280426v1	GCF_002804265.1	From INSDC submitter									Belarusian State University	4965575	Complete Genome	2017-12-04	4965575	4429	4260	SAMN08041542	PRJNA419060			Pectobacterium atrosepticum strain:36A Genome sequencing and assembly
Pectobacterium atrosepticum		PB72				ASM292002v1	GCF_002920025.1	From INSDC submitter									Institute of Bioorganic Chemistry	4985525	Contig	2018-02-06	238550	4503	4329	SAMN07572936	PRJNA400696			Soft rot pathogens Genome sequencing and assembly
Pectobacterium atrosepticum		SS26				ASM312172v1	GCF_003121725.1	From INSDC submitter									University of Agriculture Faisalabad	4927512	Contig	2018-05-12	90297	4420	4255	SAMN08979055	PRJNA453473			Genomic diversity of Blackleg pathogens in Pakistan
Pectobacterium atrosepticum		HAI2-SCRI1043				ASM380054v1	GCF_003800545.1	From INSDC submitter									Lincoln University	4933394	Contig	2018-11-20	1156993	4452	4252	SAMN10450690	PRJNA185466			Pectobacterium atrosepticum [Delta]HAI2-SCRI1043 Genome sequencing and assembly
Pectobacterium atrosepticum		NY1720A				ASM1674290v1	GCF_016742905.1	From INSDC submitter									Cornell University	4897827	Contig	2021-01-21	71840	4402	4219	SAMN14157529	PRJNA607978			Two P. carotovorum and one P. atrosepticum Assembly
Pectobacterium atrosepticum		Green1				ASM1863403v1	GCF_018634035.1	From INSDC submitter									University of Gdansk, Intercollegiate Faculty of Biotechnology	4959719	Complete Genome	2021-06-02	4959719	4407	4183	SAMN14833146	PRJNA630373			Pectobacterium atrosepticum strain:Green1 | isolate:Green1 Genome sequencing
Pectobacterium atrosepticum		A597-S4-A17				ASM2040665v1	GCF_020406655.1	From INSDC submitter									Sorbonne University	4892873	Scaffold	2021-10-10	218485	4366	4229	SAMN22029070	PRJNA768349			Draft genomes of Pectobacterium sp. and Dickeya sp. isolated in France from fresh water
Pectobacterium atrosepticum		JG10-08				ASM69646v1	GCA_000696465.1	From INSDC submitter									Agricultural University of Hebei	5004926	Complete Genome	2014-05-30	5004926	4399	4254	SAMN02797737	PRJNA247436			Pectobacterium atrosepticum JG10-08 Genome sequencing
Pectobacterium atrosepticum		21A				ASM74096v1	GCA_000740965.1	From INSDC submitter									Belarus State University	5024250	Complete Genome	2014-08-18	4991806	4556	4396	SAMN02983234	PRJNA252906			Pectobacterium atrosepticum strain:21a Genome sequencing
Pectobacterium atrosepticum		NCPPB 549				ASM74990v1	GCA_000749905.1	From INSDC submitter									Food and Environment Research Agency	5104595	Contig	2014-09-08	395607	4439	4319	SAMN02999423	PRJNA258504			Pectobacterium atrosepticum Genome sequencing
Pectobacterium atrosepticum		NCPPB 3404				ASM74996v1	GCA_000749965.1	From INSDC submitter									Food and Environment Research Agency	4898736	Contig	2014-09-08	564685	4241	4118	SAMN02999476	PRJNA258504			Pectobacterium atrosepticum Genome sequencing
Pectobacterium atrosepticum		36A				ASM280426v1	GCA_002804265.1	From INSDC submitter									Belarusian State University	4965575	Complete Genome	2017-12-04	4965575	4516	4270	SAMN08041542	PRJNA419060			Pectobacterium atrosepticum strain:36A Genome sequencing and assembly
Pectobacterium atrosepticum		PB72				ASM292002v1	GCA_002920025.1	From INSDC submitter									Institute of Bioorganic Chemistry	4985525	Contig	2018-02-06	238550	4503	4421	SAMN07572936	PRJNA400696			Soft rot pathogens Genome sequencing and assembly
Pectobacterium atrosepticum		SS26				ASM312172v1	GCA_003121725.1	From INSDC submitter									University of Agriculture Faisalabad	4927512	Contig	2018-05-12	90297	4496	4293	SAMN08979055	PRJNA453473			Genomic diversity of Blackleg pathogens in Pakistan
Pectobacterium atrosepticum		HAI2-SCRI1043				ASM380054v1	GCA_003800545.1										Lincoln University	4933394	Contig	2018-11-20	1156993			SAMN10450690	PRJNA185466			Pectobacterium atrosepticum [Delta]HAI2-SCRI1043 Genome sequencing and assembly
Pectobacterium atrosepticum		NY1720A				ASM1674290v1	GCA_016742905.1	From INSDC submitter									Cornell University	4897827	Contig	2021-01-21	71840	4396	4265	SAMN14157529	PRJNA607978			Two P. carotovorum and one P. atrosepticum Assembly
Pectobacterium atrosepticum		Green1				ASM1863403v1	GCA_018634035.1	From INSDC submitter									University of Gdansk, Intercollegiate Faculty of Biotechnology	4959719	Complete Genome	2021-06-02	4959719	4405	4179	SAMN14833146	PRJNA630373			Pectobacterium atrosepticum strain:Green1 | isolate:Green1 Genome sequencing
Pectobacterium atrosepticum		A597-S4-A17				ASM2040665v1	GCA_020406655.1	From INSDC submitter									Sorbonne University	4892873	Scaffold	2021-10-10	218485	4367	4246	SAMN22029070	PRJNA768349			Draft genomes of Pectobacterium sp. and Dickeya sp. isolated in France from fresh water
Pectobacterium atrosepticum CFBP 6276		CFBP 6276				Pa6276v1.0	GCF_000389755.1	From INSDC submitter									Institut des Sciences du vegetal	4869432	Scaffold	2013-05-17	1522583	4335	4167	SAMN02469608	PRJNA188399			Pectobacterium atrosepticum CFBP 6276 Genome sequencing and assembly
Pectobacterium atrosepticum CFBP 6276		CFBP 6276				Pa6276v1.0	GCA_000389755.1										Institut des Sciences du vegetal	4869432	Scaffold	2013-05-17	1522583			SAMN02469608	PRJNA188399			Pectobacterium atrosepticum CFBP 6276 Genome sequencing and assembly
Pectobacterium atrosepticum ICMP 1526		ICMP 1526				ASM103868v1	GCF_001038685.1	From INSDC submitter									The New Zealand Institute for Plant & Food Research	4869384	Contig	2015-06-24	797800	4417	4242	SAMN03780058	PRJNA72123			Pectobacterium atrosepticum ICMP 1526 Genome Sequencing
Pectobacterium atrosepticum ICMP 1526		ICMP 1526				ASM103868v1	GCA_001038685.1	From INSDC submitter									The New Zealand Institute for Plant & Food Research	4869384	Contig	2015-06-24	797800	4477	4403	SAMN03780058	PRJNA72123			Pectobacterium atrosepticum ICMP 1526 Genome Sequencing
Pectobacterium atrosepticum SCRI1043		SCRI1043				ASM1160v1	GCF_000011605.1	From INSDC submitter									Sanger Institute	5064019	Complete Genome	2004-07-01	5064019	4558	4377	SAMEA1705920	PRJNA350			Causative agent of soft rot and blackleg of potato
Pectobacterium atrosepticum SCRI1043		SCRI1043				ASM1160v1	GCA_000011605.1	From INSDC submitter									Sanger Institute	5064019	Complete Genome	2004-07-01	5064019	4511	4472	SAMEA1705920	PRJNA350			Causative agent of soft rot and blackleg of potato
Pectobacterium betavasculorum		NCPPB 2795				ASM74984v1	GCF_000749845.1	From INSDC submitter									Food and Environment Research Agency	4685213	Contig	2014-09-08	472932	4313	4080	SAMN02999474	PRJNA258505			Pectobacterium betavasculorum Genome sequencing
Pectobacterium betavasculorum		NCPPB 2793				ASM74992v1	GCF_000749925.1	From INSDC submitter									Food and Environment Research Agency	4675732	Contig	2014-09-08	301654	4291	4077	SAMN02999424	PRJNA258505			Pectobacterium betavasculorum Genome sequencing
Pectobacterium betavasculorum		NCPPB 2795				ASM74984v1	GCA_000749845.1	From INSDC submitter									Food and Environment Research Agency	4685213	Contig	2014-09-08	472932	4145	4016	SAMN02999474	PRJNA258505			Pectobacterium betavasculorum Genome sequencing
Pectobacterium betavasculorum		NCPPB 2793				ASM74992v1	GCA_000749925.1	From INSDC submitter									Food and Environment Research Agency	4675732	Contig	2014-09-08	301654	4126	3982	SAMN02999424	PRJNA258505			Pectobacterium betavasculorum Genome sequencing
Pectobacterium brasiliense		1692				ASM987329v1	GCF_009873295.1	From INSDC submitter									Cornell University	4851982	Complete Genome	2020-01-14	4851982	4314	4152	SAMN13779957	PRJNA599934			Pectobacterium brasiliense 1692 Raw sequence reads
Pectobacterium brasiliense		CFIA1009				ASM73810v1	GCF_000738105.1	From INSDC submitter									Canadian Food Inspection Agency	4757978	Scaffold	2014-08-06	104313	4293	4132	SAMN02947973	PRJNA255895			Pectobacterium carotovorum subsp. brasiliense CFIA1009
Pectobacterium brasiliense		CFIA1001				ASM73811v1	GCF_000738115.1	From INSDC submitter									Canadian Food Inspection Agency	4765951	Scaffold	2014-08-06	254473	4308	4164	SAMN02947962	PRJNA255894			Pectobacterium carotovorum subsp. brasiliense CFIA1001
Pectobacterium brasiliense		CFIA1033				ASM73812v1	GCF_000738125.1	From INSDC submitter									Canadian Food Inspection Agency	4706268	Scaffold	2014-08-06	93179	4303	4081	SAMN02947974	PRJNA255896			Pectobacterium carotovorum subsp. brasiliense CFIA1033
Pectobacterium brasiliense		LMG 21371				ASM75469v1	GCF_000754695.1	From INSDC submitter									Food and Environment Research Agency	4831535	Contig	2014-09-15	514700	4368	4206	SAMN03010639	PRJNA259701			Pectobacterium brasiliense Genome sequencing and assembly
Pectobacterium brasiliense		LMG 21372				ASM75470v1	GCF_000754705.1	From INSDC submitter									Food and Environment Research Agency	4926602	Contig	2014-09-15	1055512	4476	4317	SAMN03010640	PRJNA259701			Pectobacterium brasiliense Genome sequencing and assembly
Pectobacterium brasiliense		Y49				ASM80811v1	GCF_000808115.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4702692	Scaffold	2014-12-29	230573	4299	4135	SAMN03220250	PRJNA268444			Pectobacterium brasiliense strain:Y49 Genome sequencing and assembly
Pectobacterium brasiliense		Y62				ASM80814v1	GCF_000808145.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4857062	Scaffold	2014-12-29	816391	4326	4166	SAMN03252595	PRJNA269213			Pectobacterium brasiliense strain:Y62 Genome sequencing and assembly
Pectobacterium brasiliense		Y64				ASM80819v1	GCF_000808195.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4816280	Scaffold	2014-12-29	400834	4276	4120	SAMN03252598	PRJNA269216			Pectobacterium brasiliense strain:Y64 Genome sequencing and assembly
Pectobacterium brasiliense		Y21				ASM80823v1	GCF_000808235.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4762596	Contig	2014-12-29	385890	4242	4101	SAMN03252605	PRJNA269226			Pectobacterium brasiliense strain:Y21 Genome sequencing and assembly
Pectobacterium brasiliense		Y29				ASM80824v1	GCF_000808245.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4815476	Scaffold	2014-12-29	262727	4357	4197	SAMN03252606	PRJNA269227			Pectobacterium brasiliense strain:Y29 Genome sequencing and assembly
Pectobacterium brasiliense		YC Y46				ASM80825v1	GCF_000808255.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4777745	Scaffold	2014-12-29	263813	4317	4164	SAMN03252603	PRJNA269222			Pectobacterium brasiliense strain:Y46 Genome sequencing and assembly
Pectobacterium brasiliense		Y31				ASM80829v1	GCF_000808295.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4826010	Scaffold	2014-12-29	815405	4304	4140	SAMN03252607	PRJNA269228			Pectobacterium brasiliense strain:Y31 Genome sequencing and assembly
Pectobacterium brasiliense		Y3				ASM80831v1	GCF_000808315.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4740143	Scaffold	2014-12-29	678245	4221	4068	SAMN03252608	PRJNA269230			Pectobacterium brasiliense strain:Y3 Genome sequencing and assembly
Pectobacterium brasiliense		Y65				ASM80833v1	GCF_000808335.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4680590	Contig	2014-12-29	239237	4210	4073	SAMN03252609	PRJNA269231			Pectobacterium brasiliense strain:Y65 Genome sequencing and assembly
Pectobacterium brasiliense		B6				ASM80835v1	GCF_000808355.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4683764	Scaffold	2014-12-29	241166	4233	4080	SAMN03252622	PRJNA269238			Pectobacterium brasiliense strain:B6 Genome sequencing and assembly
Pectobacterium brasiliense		S2				ASM80837v1	GCF_000808375.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4836921	Scaffold	2014-12-29	234442	4421	4242	SAMN03252599	PRJNA269218			Pectobacterium brasiliense strain:S2 Genome sequencing and assembly
Pectobacterium brasiliense		Y52				ASM80838v1	GCF_000808385.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4780080	Scaffold	2014-12-29	429995	4285	4133	SAMN03252594	PRJNA269211			Pectobacterium brasiliense strain:Y52 Genome sequencing and assembly
Pectobacterium brasiliense		Y60				ASM80845v1	GCF_000808455.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4832431	Scaffold	2014-12-29	375495	4301	4161	SAMN03252617	PRJNA269233			Pectobacterium brasiliense strain:Y60 Genome sequencing and assembly
Pectobacterium brasiliense		BD255				ASM123857v1	GCF_001238575.1	From INSDC submitter									University of South Africa	4820279	Contig	2015-08-05	1001875	4309	4160	SAMN03835252	PRJNA288624			Pectobacterium brasiliense strain:BD255 Genome sequencing and assembly
Pectobacterium brasiliense		PcbHPI01				ASM142956v2	GCF_001429565.2	From INSDC submitter									University of Pretoria	4815892	Contig	2015-11-02	404385	4337	4176	SAMN04127569	PRJNA297630			Pectobacterium brasiliense strain:PcbHPI01 Genome sequencing and assembly
Pectobacterium brasiliense		BC1				ASM193263v1	GCF_001932635.1	From INSDC submitter									Institute of Crop Sciences, Chinese Academy of Agricultural Science	4920350	Complete Genome	2017-01-04	4920350	4407	4230	SAMN03104805	PRJNA263220			Pectobacterium brasiliense strain:BC1 Genome sequencing
