sampleId	sampleName	source	AssemblyAccession	AssemblyName	SpeciesName	taxonomy_corrected	SpeciesTaxid	Organism	AssemblyStatus	AssemblyType	BioSampleAccn	strain	geo_loc_name	geo_loc_country	collection_year	collection_date	host	isolation_source	env_broad_scale	env_local_scale	env_medium	length	GC_per	n_contigs	N50	N90	L50	L90	auN	N_per_100kb	contigs_gt_0kb	contigs_gt_1kb	contigs_gt_5kb	contigs_gt_10kb	contigs_gt_25kb	contigs_gt_50kb	length_gt_0kb	length_gt_1kb	length_gt_5kb	length_gt_10kb	length_gt_25kb	length_gt_50kb	largest_contig	buscog.complete	buscog.complete_single_copy	buscog.complete_duplicated	buscog.fragmented	buscog.missing	buscog.total	buscop.complete	buscop.complete_single_copy	buscop.complete_duplicated	buscop.fragmented	buscop.missing	buscop.total	submission_y	SubmissionDate	SubmitterOrganization	FtpPath_RefSeq	FtpPath_GenBank	Id	taxonomy_check_status	taxonomy_check_method	representative_status	ExclFromRefSeq	Anomalous	replaced	synonym_GB	synonym_RS	synonym_similarity	sample_type	collected_by	lat_lon	num_replicons	biomaterial_provider	isol_growth_condt	ref_biomaterial	sample_name	sub_species	project_name	culture_collection	ena_first_public	ena_last_update	external_id	insdc_center_alias	insdc_center_name	insdc_first_public	insdc_last_update	insdc_status	submitter_id	ena_checklist	depth	host_tissue_sampled	altitude	investigation_type	sequencing_method	type_material	geographic_location_latitude	geographic_location_longitude	temp	geographic_location_depth	locus_tag_prefix	water_environmental_package	identified_by	plant_associated_environmental_package	biotic_relationship	rel_to_oxygen	habitat	cell_shape	disease	environmental_sample	gold_stamp_id	gram_staining	host_taxid	motility	note	oxygen_requirement	pathogenicity	phenotypes	samp_collect_device	samp_mat_process	samp_size	serotype	sporulation	target_gene	target_subfragment	temperature_range	assembly_method	broker_name	check_list_type	climate_environment	estimated_size	gcat_id	genome_coverage	geographic_location_elevation	health_state	health_status_of_host	host_age	host_height	host_infra_specific_name	host_infra_specific_rank	host_life_stage	latitude	longitude	oxy_stat_samp	plant_body_site	reference_guided_assembly	relevant_e_resources	samp_store_dur	samp_store_temp	season_environment	sequencing_technology	soil_environmental_package	source_material_id	subsrc_note	tax_id	trophic_level	symptom_per_2019	symptom_per_2020	symptom_per_2021	virulence.old	virulence	virulence_pcr
GCF_020181375.1_ASM2018137v1	GCF_020181375.1	NCBI	GCF_020181375.1	ASM2018137v1	Pectobacterium aroidearum	FALSE	1201031	Pectobacterium aroidearum (enterobacteria)	Complete Genome	haploid	SAMN21542835	LJ2	China: Guangdong	China	2019	2019-12-02	potato	NA	NA	NA	NA	4857800	51.87	1	4857800	4857800	1	1	4857800	0	1	1	1	1	1	1	4857800	4857800	4857800	4857800	4857800	4857800	4857800	99.318	98.864	0.455	0.455	0.227	440	99.318	98.864	0.455	0.455	0.227	440	2021	2021-09-30T00:00:00Z	South China Agricultural University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/181/375/GCF_020181375.1_ASM2018137v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/181/375/GCA_020181375.1_ASM2018137v1	11026601	OK	inhouse_fastANI	NA	NA	NA	NA	GCA_020181375.1	GCF_020181375.1	identical	cell culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_020166465.1_ASM2016646v1	GCF_020166465.1	NCBI	GCF_020166465.1	ASM2016646v1	Pectobacterium versatile	FALSE	2488639	Pectobacterium versatile (enterobacteria)	Contig	haploid	SAMN21157269	KC02	China: Changping district, Beijing	China	2015	2015-06-18	Chinese cabbage	NA	NA	NA	NA	4882392	50.91	98	209432	40369	10	32	174000.8	0	98	84	55	48	38	27	4882392	4872817	4814734	4761173	4602888	4190372	304693	99.318	98.864	0.455	0.227	0.455	440	99.318	98.864	0.455	0.227	0.455	440	2021	2021-09-26T00:00:00Z	Beijing Academy of Agriculture and Forestry Sciences	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/166/465/GCF_020166465.1_ASM2016646v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/166/465/GCA_020166465.1_ASM2016646v1	11007801	Inconclusive	NCBI_ANI	NA	NA	NA	NA	GCA_020166465.1	GCF_020166465.1	identical	tissue sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_020166455.1_ASM2016645v1	GCF_020166455.1	NCBI	GCF_020166455.1	ASM2016645v1	Pectobacterium versatile	FALSE	2488639	Pectobacterium versatile (enterobacteria)	Contig	haploid	SAMN21157272	KC03	China: Changping district, Beijing	China	2015	2015-06-18	Chinese cabbage	NA	NA	NA	NA	4880115	50.81	88	204025	41126	9	29	230215.7	0	88	73	52	41	36	26	4880115	4869951	4830694	4751079	4646515	4294144	691790	99.318	98.864	0.455	0.227	0.455	440	99.091	98.636	0.455	0.227	0.682	440	2021	2021-09-26T00:00:00Z	Beijing Academy of Agriculture and Forestry Sciences	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/166/455/GCF_020166455.1_ASM2016645v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/166/455/GCA_020166455.1_ASM2016645v1	11007791	Inconclusive	NCBI_ANI	NA	NA	NA	NA	GCA_020166455.1	GCF_020166455.1	identical	tissue sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_020166435.1_ASM2016643v1	GCF_020166435.1	NCBI	GCF_020166435.1	ASM2016643v1	Pectobacterium versatile	FALSE	2488639	Pectobacterium versatile (enterobacteria)	Contig	haploid	SAMN21156479	KC01	China: Changping district, Beijing	China	2015	2015-06-18	Chinese cabbage	NA	NA	NA	NA	4834266	51.01	69	221615	60037	7	26	257495.1	0	69	64	44	39	34	28	4834266	4830968	4792073	4750862	4678962	4482413	621853	99.318	99.091	0.227	0.227	0.455	440	99.318	99.091	0.227	0.227	0.455	440	2021	2021-09-26T00:00:00Z	Beijing Academy of Agriculture and Forestry Sciences	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/166/435/GCF_020166435.1_ASM2016643v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/166/435/GCA_020166435.1_ASM2016643v1	11007771	Inconclusive	NCBI_ANI	NA	NA	NA	NA	GCA_020166435.1	GCF_020166435.1	identical	tissue sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_020047135.1_ASM2004713v1	GCF_020047135.1	NCBI	GCF_020047135.1	ASM2004713v1	Pectobacterium polaris	FALSE	2042057	Pectobacterium polaris (enterobacteria)	Complete Genome	haploid	SAMN19778477	QK413-1	China:Minhou,Fujian	China	2018	2018-05-18	Solanum tuberosum L.	NA	NA	NA	NA	5005507	51.81	1	5005507	5005507	1	1	5005507	0	1	1	1	1	1	1	5005507	5005507	5005507	5005507	5005507	5005507	5005507	99.545	99.318	0.227	0.227	0.227	440	99.318	99.091	0.227	0.227	0.455	440	2021	2021-09-20T00:00:00Z	Fujian Academy of Agricultural Sciences	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/047/135/GCF_020047135.1_ASM2004713v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/047/135/GCA_020047135.1_ASM2004713v1	10935981	OK	NCBI_ANI	NA	NA	NA	NA	GCA_020047135.1	GCF_020047135.1	identical	pure culture	Huawei Li	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_019426325.1_ASM1942632v1	GCF_019426325.1	NCBI	GCF_019426325.1	ASM1942632v1	Pectobacterium brasiliense	FALSE	180957	Pectobacterium brasiliense (enterobacteria)	Contig	haploid	SAMN16451445	A1	Mexico: Zapotitlan de las Salinas, Puebla	Mexico	2017	2017-03-01	Cephalocereus tetetzo	NA	NA	NA	NA	4496704	52.3	177	46958	15393	32	100	51042	0	177	164	139	116	60	28	4496704	4488218	4422435	4260256	3246182	2077097	124352	97.727	97.273	0.455	0.682	1.591	440	97.5	97.045	0.455	0.455	2.045	440	2021	2021-07-30T00:00:00Z	UNAM FES IZTACALA	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/426/325/GCF_019426325.1_ASM1942632v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/426/325/GCA_019426325.1_ASM1942632v1	10613391	OK	NCBI_ANI	NA	NA	NA	NA	GCA_019426325.1	GCF_019426325.1	identical	Bacteria isolated in culture media	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	David Vargas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_019426305.1_ASM1942630v1	GCF_019426305.1	NCBI	GCF_019426305.1	ASM1942630v1	Pectobacterium polaris	FALSE	2042057	Pectobacterium polaris (enterobacteria)	Contig	haploid	SAMN16451444	A3	Mexico: Zapotitlan de las Salinas, Puebla	Mexico	2017	2017-03-01	Cephalocereus tetetzo	NA	NA	NA	NA	4873548	51.96	151	59089	19645	26	82	75659.7	0	151	149	122	100	63	36	4873548	4871899	4813824	4651445	3959169	2994877	263985	99.091	98.864	0.227	0.227	0.682	440	99.091	98.864	0.227	0.227	0.682	440	2021	2021-07-30T00:00:00Z	UNAM FES IZTACALA	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/426/305/GCF_019426305.1_ASM1942630v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/426/305/GCA_019426305.1_ASM1942630v1	10613381	OK	NCBI_ANI	NA	NA	NA	NA	GCA_019426305.1	GCF_019426305.1	identical	Bacteria isolated in culture media	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	David Vargas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_019056595.1_ASM1905659v1	GCF_019056595.1	NCBI	GCF_019056595.1	ASM1905659v1	Pectobacterium atrosepticum	FALSE	29471	Pectobacterium atrosepticum (enterobacteria)	Complete Genome	haploid	SAMN08956844	CFBP1526	United Kingdom	United Kingdom	1957	1957-01-01	Solanum tuberosum	plant	NA	NA	NA	5035651	51.09	2	4923399	4923399	1	1	4816151.5	0	2	2	2	2	2	2	5035651	5035651	5035651	5035651	5035651	5035651	4923399	99.773	99.318	0.455	0.227	0	440	99.773	99.318	0.455	0.227	0	440	2021	2021-06-29T00:00:00Z	Institute for integrative biology of the cell	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/056/595/GCF_019056595.1_ASM1905659v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/056/595/GCA_019056595.1_ASM1905659v1	10397801	OK	NCBI_ANI	NA	missing ribosomal protein genes	NA	NA	GCA_019056595.1	GCF_019056595.1	identical	whole organisme	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	type strain of Pectobacterium atrosepticum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_018728555.1_ASM1872855v1	GCF_018728555.1	NCBI	GCF_018728555.1	ASM1872855v1	Pectobacterium punjabense	FALSE	2108399	Pectobacterium punjabense (enterobacteria)	Contig	haploid	SAMN16339787	RNS08-28	France	France	2008	2008-01-01	Solanum tuberosum	NA	NA	NA	NA	4702442	50.87	105	77004	22916	20	59	94743.4	0	105	105	87	81	56	36	4702442	4702442	4660784	4616548	4160868	3417522	253116	99.318	98.864	0.455	0.455	0.227	440	99.091	98.636	0.455	0.455	0.455	440	2021	2021-06-04T00:00:00Z	Federation Nationale des Producteurs de Plants de Pomme de Terre (FN3PT)- Inov3PT	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/728/555/GCF_018728555.1_ASM1872855v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/728/555/GCA_018728555.1_ASM1872855v1	10228081	OK	NCBI_ANI	NA	NA	NA	NA	GCA_018728555.1	GCF_018728555.1	identical	Tissue sample	Angelique Laurent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_018634035.1_ASM1863403v1	GCF_018634035.1	NCBI	GCF_018634035.1	ASM1863403v1	Pectobacterium atrosepticum	FALSE	29471	Pectobacterium atrosepticum (enterobacteria)	Complete Genome	haploid	SAMN14833146	Green1	Greenland	Greenland	2019	2019-08-01	Solanum tuberosum	agriculture field in Greenland	NA	NA	NA	4959719	51.01	1	4959719	4959719	1	1	4959719	1.29	1	1	1	1	1	1	4959719	4959719	4959719	4959719	4959719	4959719	4959719	99.318	98.864	0.455	0.455	0.227	440	99.318	98.864	0.455	0.455	0.227	440	2021	2021-06-02T00:00:00Z	University of Gdansk, Intercollegiate Faculty of Biotechnology	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/634/035/GCF_018634035.1_ASM1863403v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/634/035/GCA_018634035.1_ASM1863403v1	10176361	OK	NCBI_ANI	NA	NA	NA	NA	GCA_018634035.1	GCF_018634035.1	identical	cell culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_018344415.1_ASM1834441v1	GCF_018344415.1	NCBI	GCF_018344415.1	ASM1834441v1	Pectobacterium punjabense	FALSE	2108399	Pectobacterium punjabense (enterobacteria)	Contig	haploid	SAMN16339683	P9A19a	France	France	2015	2015-01-01	Solanum tuberosum	NA	NA	NA	NA	4731224	50.62	50	192539	51012	8	26	232419.9	0	50	50	41	38	36	26	4731224	4731224	4714520	4693537	4671452	4279854	606312	99.545	99.091	0.455	0.227	0.227	440	99.091	98.636	0.455	0.227	0.682	440	2021	2021-05-12T00:00:00Z	Federation Nationale des Producteurs de Plants de Pomme de Terre (FN3PT)- Inov3PT	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/344/415/GCF_018344415.1_ASM1834441v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/344/415/GCA_018344415.1_ASM1834441v1	10036841	OK	NCBI_ANI	NA	NA	NA	NA	GCA_018344415.1	GCF_018344415.1	identical	Tissue sample	Pauline Dewaegeneire	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_018219365.1_ASM1821936v1	GCF_018219365.1	NCBI	GCF_018219365.1	ASM1821936v1	Pectobacterium versatile	FALSE	2488639	Pectobacterium versatile (enterobacteria)	Complete Genome	haploid	SAMN16131363	DSM 30169	Germany: Leibniz	Germany	2010	2010-02-11	Brassica oleracea var. capitate (cabbage)	soft rot	NA	NA	NA	5303971	51.71	1	5303971	5303971	1	1	5303971	1.89	1	1	1	1	1	1	5303971	5303971	5303971	5303971	5303971	5303971	5303971	99.545	99.091	0.455	0.227	0.227	440	99.545	99.091	0.455	0.227	0.227	440	2021	2021-04-30T00:00:00Z	Hebei University of Science and Technology	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/219/365/GCF_018219365.1_ASM1821936v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/219/365/GCA_018219365.1_ASM1821936v1	9972221	OK	NCBI_ANI	NA	NA	NA	NA	GCA_018219365.1	GCF_018219365.1	identical	cell	NA	NA	NA	NA	NA	NA	NA	NA	NA	DSM:30169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_018141505.1_ASM1814150v1	GCA_018141505.1	NCBI	GCA_018141505.1	ASM1814150v1	Pectobacterium versatile	FALSE	2488639	Pectobacterium versatile (enterobacteria)	Complete Genome	haploid	SAMN16418415	ECC15	NA	NA	NA	NA	Drosophila melanogaster	NA	NA	NA	NA	4859694	51.88	1	4859694	4859694	1	1	4859694	0	1	1	1	1	1	1	4859694	4859694	4859694	4859694	4859694	4859694	4859694	42.273	42.273	0	32.5	25.227	440	42.273	42.273	0	32.5	25.227	440	2021	2021-04-27T00:00:00Z	Instituto Gulbenkian de Ciencia	NA	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/141/505/GCA_018141505.1_ASM1814150v1	9962061	NA	NCBI_ANI	NA	many frameshifted proteins	NA	replaced	GCA_018141505.1	NA	NA	cell culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_018095755.1_ASM1809575v1	GCF_018095755.1	NCBI	GCF_018095755.1	ASM1809575v1	Pectobacterium versatile	FALSE	2488639	Pectobacterium versatile (enterobacteria)	Contig	haploid	SAMN12913088	NY1754A	USA: New York State	United States	2017	2017-01-01	potato	NA	NA	NA	NA	4918838	52	171	68737	21247	25	72	75176.4	0	1655	136	106	91	64	35	5312553	4895141	4828051	4716280	4246857	3126314	193770	99.545	99.091	0.455	0.227	0.227	440	99.545	99.091	0.455	0.227	0.227	440	2021	2021-04-19T00:00:00Z	Cornell University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/095/755/GCF_018095755.1_ASM1809575v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/095/755/GCA_018095755.1_ASM1809575v1	9899431	OK	NCBI_ANI	NA	contaminated	contaminated	NA	GCA_018095755.1	GCF_018095755.1	identical	Tissue	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_018095765.1_ASM1809576v1	GCF_018095765.1	NCBI	GCF_018095765.1	ASM1809576v1	Pectobacterium versatile	FALSE	2488639	Pectobacterium versatile (enterobacteria)	Contig	haploid	SAMN12913087	NY1753B	USA: New York State	United States	2017	2017-01-01	potato	NA	NA	NA	NA	5048059	51.99	137	85073	21644	22	70	82155	0	167	124	103	92	63	35	5056936	5038611	4985932	4898701	4394271	3382112	203734	99.545	99.091	0.455	0.227	0.227	440	99.545	99.091	0.455	0.227	0.227	440	2021	2021-04-19T00:00:00Z	Cornell University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/095/765/GCF_018095765.1_ASM1809576v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/095/765/GCA_018095765.1_ASM1809576v1	9899421	OK	NCBI_ANI	NA	NA	NA	NA	GCA_018095765.1	GCF_018095765.1	identical	Tissue	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_018095745.1_ASM1809574v1	GCF_018095745.1	NCBI	GCF_018095745.1	ASM1809574v1	Pectobacterium versatile	FALSE	2488639	Pectobacterium versatile (enterobacteria)	Contig	haploid	SAMN12913086	NY1715C	USA: New York State	United States	2017	2017-01-01	potato	NA	NA	NA	NA	5188563	51.75	196	63712	16898	24	85	91944.6	0	245	172	123	104	65	33	5204678	5172350	5059520	4915776	4243828	3120023	406402	99.545	99.091	0.455	0.227	0.227	440	99.318	98.864	0.455	0.227	0.455	440	2021	2021-04-19T00:00:00Z	Cornell University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/095/745/GCF_018095745.1_ASM1809574v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/095/745/GCA_018095745.1_ASM1809574v1	9899411	OK	NCBI_ANI	NA	NA	NA	NA	GCA_018095745.1	GCF_018095745.1	identical	Tissue	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_018095725.1_ASM1809572v1	GCF_018095725.1	NCBI	GCF_018095725.1	ASM1809572v1	Pectobacterium versatile	FALSE	2488639	Pectobacterium versatile (enterobacteria)	Contig	haploid	SAMN12913085	NY1705A	USA: New York State	United States	2017	2017-01-01	potato	NA	NA	NA	NA	5048337	51.99	135	75159	22290	22	69	81567.9	0	265	121	102	90	65	36	5081731	5038207	4991947	4895483	4462324	3417227	161731	99.545	99.091	0.455	0.227	0.227	440	99.545	99.091	0.455	0.227	0.227	440	2021	2021-04-19T00:00:00Z	Cornell University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/095/725/GCF_018095725.1_ASM1809572v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/095/725/GCA_018095725.1_ASM1809572v1	9899401	OK	NCBI_ANI	NA	NA	NA	NA	GCA_018095725.1	GCF_018095725.1	identical	Tissue	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
